ForestType,Forest,P_Water50,P_Mixed50,P_Evergreen50,P_Deciduous50,P_Development50,P_Agriculture50,P_Barren50,P_Shrub50,P_Wetland50,P_Herb50
Deciduous,BC,7.168459,0.896057,24.014337,60.573477,0,0,0,3.942652,1.612903,2.688172
Deciduous,BC,3.763441,1.792115,40.681004,46.057348,0,0,0,1.612903,6.989247,0
Deciduous,BC,9.856631,0.358423,23.476703,62.903226,0,0,0,0,3.046595,0
Deciduous,BC,0,2.508961,3.942652,91.935484,0,0,0,2.508961,0,0
Deciduous,BC,2.329749,0,2.150538,82.97491,0,0,0,0,13.082437,0
Deciduous,BC,0,1.433692,58.602151,18.817204,0,0,0,8.243728,13.261649,0
Deciduous,BC,3.046595,7.526882,15.412186,70.071685,0,0,0,0.896057,3.225806,0
Deciduous,BC,0,0,0,100,0,0,0,0,0,0
Deciduous,BC,1.075269,0,1.25448,92.293907,0,0,0,3.046595,2.867384,0
Deciduous,BC,1.433692,0,0,95.698925,0,0,0,0,3.0465595,0
Deciduous,BC,0,4.83871,15.949821,76.702509,1.25448,0,0,0,0.537634,0
Deciduous,BC,5.913978,0.179211,4.121864,83.154122,0,0,0,1.971326,5.197133,0
Deciduous,BC,2.508961,0,0.716846,88.172043,0,0,0,0,8.064516,0
Deciduous,BC,0,9.856631,46.774194,40.501792,0,0,0,0.358423,2.688172,0
Deciduous,BC,0,4.121864,5.376344,84.587814,0,0,0,0,6.272401,0
Deciduous,BC,2.688172,0,0,82.616487,0,0,0,0,14.874552,0
Pine,DEG,0,13.261649,45.878136,27.419355,0,0,0,4.121864,10.215054,0
Pine,DEG,0,1.075269,70.250896,27.060932,0,0,0,1.612903,0,0
Pine,DEG,0,4.83871,6.451613,83.691756,0,0,0,0,5.197133,0
Pine,DEG,5.376344,0,0,90.143369,0,0,0,2.150538,3.046595,0
Pine,DEG,0,0,25.806452,58.602151,4.301075,0,0,2.867384,8.781362,0
Pine,DEG,0,0.896057,17.741935,58.422939,2.867384,0,0,0,20.250896,0
Pine,DEG,1.971326,3.225806,47.670251,37.634409,0,0,0,3.405018,6.630824,0
Pine,DEG,,4.121864,45.878136,43.189964,0,0,0,0,6.989247,0
Pine,DEG,0.537634,8.243728,37.275986,39.784946,0,0,0,6.451613,2.508961,4.659498
Pine,DEG,0,5.197133,60.394265,30.286738,0,0,0,4.121864,0,0
Pine,DEG,0,0,0,89.605735,0,0,0,4.301075,3.225806,3.584229
Pine,DEG,2.688172,3.225806,9.677419,71.326165,0,0,0,0,12.903225,0
Pine,DEG,0.358423,1.25448,48.028674,50,0,0,0,0,0.358423,0
Pine,DEG,0,0,1.612903,91.577061,0,0,0,0,6.451613,0
Pine,DEG,2.329749,1.075269,46.415771,33.870968,0,0,0,1.971326,14.516129,0.537634
Pine,DEG,1.612903,0,6.630824,75.448029,0,0,0,0,17.204301,0
Deciduous,DON,0,1.075269,70.250896,27.060932,0,0,0,1.612903,0,0
Deciduous,DON,0,11.290323,32.795699,48.924731,0.179211,0,0,0,7.168459,0
Deciduous,DON,0,9.856631,8.243728,80.286738,0,0.896057,0,0,0,0
Deciduous,DON,1.25448,3.225806,51.612903,31.72043,0,0,0,0,10.035842,2.150538
Deciduous,DON,0,3.942652,22.939068,56.272401,4.301075,0.896057,0,0.179211,12.18638,0
Deciduous,DON,0,0.537634,60.9319,24.551971,0,0,0,8.064516,3.584229,1.971326
Deciduous,DON,16.129032,0,13.620072,57.885305,0,0,0,3.046595,10.035842,0
Deciduous,DON,0,5.017921,12.18638,35.483871,0,0,0,0,47.491039,0
Deciduous,DON,1.792115,1.971326,30.645161,58.602151,0,0,0,0,7.168459,0
Deciduous,DON,0,2.867384,3.225806,91.397849,0,0,0,0,2.329749,0
Deciduous,DON,0.179211,0,68.458781,17.204301,0,0,0,0,13.261649,1.433692
Deciduous,DON,1.075269,2.688172,13.978495,60.573477,4.121864,0,0,8.243728,6.451613,3.405018
Deciduous,DON,0,2.329749,57.706093,29.21147,0,4.83871,0,6.451613,0,0
Deciduous,DON,1.075269,2.867384,0,84.946237,0,0,0,0,10.035842,0
Deciduous,DON,0,12.724014,22.222222,63.978495,0,0,0,0,0,0
Deciduous,DON,0,1.433692,78.853047,15.232975,0,0,0,0,1.792115,3.225806
Deciduous,SH,0,10.215054,51.971326,7.706093,0,27.319355,0,0,1.433692,1.971326
Deciduous,SH,0,4.121864,2.508961,92.65233,0,0,0,0,1.25448,0
Deciduous,SH,1.25448,2.150538,15.591398,58.960573,0,0,0,0,22.580645,0
Deciduous,SH,0,0,0.537634,73.835125,0,0,0,0.896057,23.11828,1.971326
Deciduous,SH,1.612903,0,0,81.003584,0,0,0,0,18.100358,0
Deciduous,SH,0,0,84.767025,1.075269,1.792115,0,0,0,7.526882,5.555556
Deciduous,SH,0,13.620072,31.362007,31.003584,0,0,0,0.537634,23.11828,0
Deciduous,SH,0,1.075269,70.071685,28.136201,0,0,0,1.612903,0,0
Deciduous,SH,4.121864,1.612903,30.824373,49.283154,0,0,0,3.584229,8.064516,2.508961
Deciduous,SH,0,5.197133,69.713262,20.430108,0,0,0,3.584229,0,0
Deciduous,SH,0,0,0,49.641577,0,4.659498,0,18.996416,25.985663,0
Deciduous,SH,2.150538,0,14.695341,80.107527,0,0,0,3.584229,0,0
Deciduous,SH,3.942652,0.716846,6.630824,86.55914,0,0,0,0,2.867384,0
Deciduous,SH,0,11.648746,57.34767,22.759857,0,0,0,1.075269,7.168459,0
Deciduous,SH,0,5.376344,21.326165,66.308244,5.734767,0,0,0,1.075269,0
Deciduous,SH,0,2.688172,27.240143,38.351254,1.075269,4.659498,0,1.612903,24.910394,0
Pine,WF,0,14.695341,45.16129,34.767025,0,0,0,0,5.376344,0
Pine,WF,0,7.706093,37.455197,48.566308,0,0.716846,0,2.508961,0,3.405018
Pine,WF,0,1.25448,1.25448,98.207885,0,0,0,0,0,0
Pine,WF,3.942652,0,0.537634,93.727599,0,0,0,0,1.792114,0
